               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066147,             0.10063,            0.050243,              0.6441,             0.72095,             0.75314,             0.39217,            0.054826,            0.082747,            0.029409,            0.070056,           0.0033271,           0.0033271
                   1,            0.058108,            0.079291,            0.020799,             0.74828,             0.81769,              0.8952,             0.52128,            0.053477,            0.077555,           0.0096595,            0.040023,           0.0066275,           0.0066275
                   2,            0.052697,            0.075488,           0.0091891,             0.78399,             0.89476,             0.95009,             0.63716,            0.046532,            0.072789,           0.0063488,           0.0099568,           0.0098949,           0.0098949
                   3,             0.04474,             0.07112,           0.0064872,             0.99023,             0.98996,             0.99344,             0.74381,            0.027973,            0.062532,           0.0049787,           0.0098515,           0.0098515,           0.0098515
                   4,            0.039122,            0.065761,            0.005117,             0.99274,             0.99498,             0.99381,              0.8233,            0.026861,            0.057995,           0.0039923,           0.0098515,           0.0098515,           0.0098515
                   5,             0.03578,            0.061748,           0.0045248,              0.9951,              0.9957,              0.9945,             0.84894,            0.023085,            0.053184,           0.0037705,            0.009802,            0.009802,            0.009802
                   6,            0.033905,            0.060093,           0.0041214,              0.9951,             0.99402,             0.99417,             0.85463,            0.023461,            0.053166,           0.0035056,           0.0097525,           0.0097525,           0.0097525
                   7,            0.031915,            0.058537,           0.0038341,               0.995,             0.99557,             0.99381,             0.87262,             0.01957,            0.049299,           0.0035227,            0.009703,            0.009703,            0.009703
                   8,            0.030841,            0.055735,           0.0035992,             0.99546,             0.99583,             0.99461,             0.85801,            0.020871,            0.050246,            0.003096,           0.0096535,           0.0096535,           0.0096535
                   9,            0.030097,            0.055657,           0.0034709,              0.9962,              0.9954,             0.99469,             0.87914,            0.018564,            0.046748,           0.0031992,            0.009604,            0.009604,            0.009604
                  10,             0.02928,            0.054072,           0.0033544,             0.99661,             0.99679,             0.99457,             0.87076,            0.019854,             0.04761,           0.0028402,           0.0095545,           0.0095545,           0.0095545
                  11,            0.028423,            0.053257,            0.003201,             0.99696,             0.99677,             0.99471,             0.89763,            0.017615,            0.044515,            0.002717,            0.009505,            0.009505,            0.009505
                  12,            0.028208,            0.052395,           0.0031166,             0.99606,             0.99753,             0.99473,             0.89315,            0.017755,            0.045466,            0.002508,           0.0094555,           0.0094555,           0.0094555
                  13,            0.027479,            0.051854,           0.0030211,             0.99666,             0.99759,             0.99482,             0.89636,            0.017277,            0.043214,           0.0024266,            0.009406,            0.009406,            0.009406
                  14,            0.027022,             0.05094,           0.0029183,             0.99728,             0.99814,             0.99464,             0.89846,            0.016954,            0.042592,           0.0026336,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026747,            0.050212,           0.0028598,             0.99783,             0.99792,             0.99492,              0.9164,            0.016293,            0.040318,           0.0025617,            0.009307,            0.009307,            0.009307
                  16,            0.026023,            0.048677,           0.0027951,             0.99688,             0.99791,             0.99484,             0.91205,            0.016664,            0.042145,            0.002293,           0.0092575,           0.0092575,           0.0092575
                  17,             0.02595,            0.048544,           0.0027658,             0.99752,             0.99636,             0.99487,             0.90624,            0.016423,             0.04219,           0.0023645,            0.009208,            0.009208,            0.009208
                  18,            0.025523,            0.047821,           0.0026982,             0.99851,              0.9969,             0.99495,             0.91949,            0.015257,            0.039727,           0.0022455,           0.0091585,           0.0091585,           0.0091585
                  19,            0.025041,            0.046964,           0.0026543,             0.99799,             0.99793,             0.99489,             0.92153,            0.014964,            0.039913,           0.0022167,            0.009109,            0.009109,            0.009109
                  20,            0.024381,            0.046193,           0.0025775,             0.99867,             0.99652,             0.99493,             0.91811,             0.01508,            0.039297,           0.0023262,           0.0090595,           0.0090595,           0.0090595
                  21,            0.024413,            0.046302,           0.0025465,             0.99799,             0.99847,             0.99485,             0.91811,             0.01574,            0.038888,           0.0022883,             0.00901,             0.00901,             0.00901
                  22,            0.024485,            0.045493,           0.0024982,              0.9984,             0.99787,             0.99495,             0.91863,            0.015525,            0.038748,           0.0020917,           0.0089605,           0.0089605,           0.0089605
                  23,             0.02428,            0.045599,           0.0024406,             0.99734,             0.99878,             0.99484,             0.91192,            0.015197,            0.038787,           0.0020722,            0.008911,            0.008911,            0.008911
                  24,            0.023844,              0.0456,           0.0024162,              0.9977,             0.99832,             0.99489,             0.92012,            0.014875,            0.038086,           0.0019431,           0.0088615,           0.0088615,           0.0088615
                  25,            0.023757,            0.045078,           0.0023831,             0.99766,             0.99798,              0.9946,             0.92879,            0.013963,            0.037055,           0.0021674,            0.008812,            0.008812,            0.008812
                  26,            0.023465,            0.044703,           0.0023502,             0.99785,             0.99868,             0.99494,             0.92872,             0.01382,            0.037127,           0.0019277,           0.0087625,           0.0087625,           0.0087625
                  27,            0.023265,            0.044407,           0.0023474,             0.99769,             0.99849,             0.99488,             0.92676,            0.014043,            0.037303,           0.0020384,            0.008713,            0.008713,            0.008713
                  28,            0.022964,            0.043761,           0.0023369,             0.99846,              0.9984,             0.99499,             0.92527,            0.014135,             0.03718,           0.0020084,           0.0086635,           0.0086635,           0.0086635
                  29,            0.022782,            0.043358,           0.0023007,             0.99827,             0.99853,             0.99495,             0.93322,            0.013657,            0.036652,           0.0018715,            0.008614,            0.008614,            0.008614
                  30,            0.022528,            0.042757,           0.0022492,             0.99862,             0.99853,             0.99497,             0.93564,            0.013434,             0.03561,           0.0018917,           0.0085645,           0.0085645,           0.0085645
                  31,            0.022619,            0.043266,           0.0022321,             0.99799,              0.9984,             0.99491,             0.93554,            0.013539,            0.035624,           0.0018993,            0.008515,            0.008515,            0.008515
                  32,             0.02202,            0.041984,           0.0022574,             0.99862,             0.99788,             0.99496,             0.93883,            0.013594,            0.035649,           0.0018311,           0.0084655,           0.0084655,           0.0084655
                  33,            0.022093,            0.041984,           0.0021967,             0.99842,             0.99821,             0.99493,             0.93534,            0.013726,             0.03589,           0.0018479,            0.008416,            0.008416,            0.008416
                  34,            0.021961,            0.042269,           0.0021419,             0.99847,             0.99837,             0.99485,             0.93805,            0.013321,            0.035021,           0.0018601,           0.0083665,           0.0083665,           0.0083665
                  35,            0.021986,            0.041994,           0.0021301,             0.99832,             0.99912,             0.99488,             0.94264,            0.013075,            0.034938,           0.0017237,            0.008317,            0.008317,            0.008317
